date,hour,keyword,count,weather,wind_direction
2011-05-08,0,000,2,CLOUDY,NW
2011-05-08,0,100,1,CLOUDY,NW
2011-05-08,0,1st,9,CLOUDY,NW
2011-05-08,0,2010,6,CLOUDY,NW
2011-05-08,0,2nd,1,CLOUDY,NW
2011-05-08,0,aan,2,CLOUDY,NW
2011-05-08,0,able,3,CLOUDY,NW
2011-05-08,0,absolutely,3,CLOUDY,NW
2011-05-08,0,accident,1,CLOUDY,NW
2011-05-08,0,act,4,CLOUDY,NW
2011-05-08,0,action,3,CLOUDY,NW
2011-05-08,0,actually,13,CLOUDY,NW
2011-05-08,0,adam,2,CLOUDY,NW
2011-05-08,0,add,3,CLOUDY,NW
2011-05-08,0,after,22,CLOUDY,NW
2011-05-08,0,afternoon,5,CLOUDY,NW
2011-05-08,0,again,26,CLOUDY,NW
2011-05-08,0,against,3,CLOUDY,NW
2011-05-08,0,age,4,CLOUDY,NW
2011-05-08,0,ago,2,CLOUDY,NW
2011-05-08,0,ain,1,CLOUDY,NW
2011-05-08,0,aint,3,CLOUDY,NW
2011-05-08,0,air,4,CLOUDY,NW
2011-05-08,0,airport,1,CLOUDY,NW
2011-05-08,0,alarm,1,CLOUDY,NW
2011-05-08,0,album,1,CLOUDY,NW
2011-05-08,0,alive,4,CLOUDY,NW
2011-05-08,0,almost,8,CLOUDY,NW
2011-05-08,0,alone,5,CLOUDY,NW
2011-05-08,0,along,2,CLOUDY,NW
2011-05-08,0,already,11,CLOUDY,NW
2011-05-08,0,als,3,CLOUDY,NW
2011-05-08,0,also,7,CLOUDY,NW
2011-05-08,0,always,20,CLOUDY,NW
2011-05-08,0,amazing,7,CLOUDY,NW
2011-05-08,0,american,29,CLOUDY,NW
2011-05-08,0,android,1,CLOUDY,NW
2011-05-08,0,another,16,CLOUDY,NW
2011-05-08,0,answer,6,CLOUDY,NW
2011-05-08,0,any,7,CLOUDY,NW
2011-05-08,0,anybody,3,CLOUDY,NW
2011-05-08,0,anymore,3,CLOUDY,NW
2011-05-08,0,anyone,9,CLOUDY,NW
2011-05-08,0,anything,9,CLOUDY,NW
2011-05-08,0,anyway,2,CLOUDY,NW
2011-05-08,0,app,2,CLOUDY,NW
2011-05-08,0,apparently,3,CLOUDY,NW
2011-05-08,0,apple,7,CLOUDY,NW
2011-05-08,0,arcade,4,CLOUDY,NW
2011-05-08,0,around,6,CLOUDY,NW
2011-05-08,0,art,3,CLOUDY,NW
2011-05-08,0,arts,4,CLOUDY,NW
2011-05-08,0,ask,8,CLOUDY,NW
2011-05-08,0,asked,3,CLOUDY,NW
2011-05-08,0,asleep,1,CLOUDY,NW
2011-05-08,0,ass,2,CLOUDY,NW
2011-05-08,0,ate,1,CLOUDY,NW
2011-05-08,0,attention,4,CLOUDY,NW
2011-05-08,0,august,9,CLOUDY,NW
2011-05-08,0,awake,4,CLOUDY,NW
2011-05-08,0,away,17,CLOUDY,NW
2011-05-08,0,awesome,7,CLOUDY,NW
2011-05-08,0,baby,10,CLOUDY,NW
2011-05-08,0,back,34,CLOUDY,NW
2011-05-08,0,bad,17,CLOUDY,NW
2011-05-08,0,band,2,CLOUDY,NW
2011-05-08,0,bar,3,CLOUDY,NW
2011-05-08,0,baseball,1,CLOUDY,NW
2011-05-08,0,basketball,6,CLOUDY,NW
2011-05-08,0,bday,3,CLOUDY,NW
2011-05-08,0,beach,3,CLOUDY,NW
2011-05-08,0,beautiful,6,CLOUDY,NW
2011-05-08,0,because,15,CLOUDY,NW
2011-05-08,0,bed,12,CLOUDY,NW
2011-05-08,0,been,15,CLOUDY,NW
2011-05-08,0,beer,6,CLOUDY,NW
2011-05-08,0,before,13,CLOUDY,NW
2011-05-08,0,behind,5,CLOUDY,NW
2011-05-08,0,being,19,CLOUDY,NW
2011-05-08,0,believe,8,CLOUDY,NW
2011-05-08,0,ben,3,CLOUDY,NW
2011-05-08,0,best,20,CLOUDY,NW
2011-05-08,0,bet,2,CLOUDY,NW
2011-05-08,0,better,14,CLOUDY,NW
2011-05-08,0,between,3,CLOUDY,NW
2011-05-08,0,bieber,3,CLOUDY,NW
2011-05-08,0,big,15,CLOUDY,NW
2011-05-08,0,biggest,1,CLOUDY,NW
2011-05-08,0,bill,1,CLOUDY,NW
2011-05-08,0,birthday,7,CLOUDY,NW
2011-05-08,0,bit,6,CLOUDY,NW
2011-05-08,0,black,7,CLOUDY,NW
2011-05-08,0,blackberry,2,CLOUDY,NW
2011-05-08,0,blog,2,CLOUDY,NW
2011-05-08,0,blood,3,CLOUDY,NW
2011-05-08,0,blows,2,CLOUDY,NW
2011-05-08,0,blue,3,CLOUDY,NW
2011-05-08,0,body,9,CLOUDY,NW
2011-05-08,0,book,6,CLOUDY,NW
2011-05-08,0,books,2,CLOUDY,NW
2011-05-08,0,boondocks,7,CLOUDY,NW
2011-05-08,0,bored,3,CLOUDY,NW
2011-05-08,0,boring,6,CLOUDY,NW
2011-05-08,0,both,6,CLOUDY,NW
2011-05-08,0,bought,1,CLOUDY,NW
2011-05-08,0,bout,7,CLOUDY,NW
2011-05-08,0,box,3,CLOUDY,NW
2011-05-08,0,boy,8,CLOUDY,NW
2011-05-08,0,boys,3,CLOUDY,NW
2011-05-08,0,brain,1,CLOUDY,NW
2011-05-08,0,break,6,CLOUDY,NW
2011-05-08,0,breakfast,2,CLOUDY,NW
2011-05-08,0,breath,1,CLOUDY,NW
2011-05-08,0,briefing,7,CLOUDY,NW
2011-05-08,0,briefly,3,CLOUDY,NW
2011-05-08,0,bring,4,CLOUDY,NW
2011-05-08,0,bro,2,CLOUDY,NW
2011-05-08,0,broken,4,CLOUDY,NW
2011-05-08,0,brother,7,CLOUDY,NW
2011-05-08,0,building,1,CLOUDY,NW
2011-05-08,0,burn,2,CLOUDY,NW
2011-05-08,0,burning,1,CLOUDY,NW
2011-05-08,0,bus,6,CLOUDY,NW
2011-05-08,0,business,4,CLOUDY,NW
2011-05-08,0,busy,2,CLOUDY,NW
2011-05-08,0,buy,4,CLOUDY,NW
2011-05-08,0,bye,2,CLOUDY,NW
2011-05-08,0,call,6,CLOUDY,NW
2011-05-08,0,called,5,CLOUDY,NW
2011-05-08,0,calling,2,CLOUDY,NW
2011-05-08,0,calls,3,CLOUDY,NW
2011-05-08,0,came,2,CLOUDY,NW
2011-05-08,0,camp,2,CLOUDY,NW
2011-05-08,0,cannot,2,CLOUDY,NW
2011-05-08,0,cant,14,CLOUDY,NW
2011-05-08,0,car,6,CLOUDY,NW
2011-05-08,0,card,1,CLOUDY,NW
2011-05-08,0,care,8,CLOUDY,NW
2011-05-08,0,cars,20,CLOUDY,NW
2011-05-08,0,case,1,CLOUDY,NW
2011-05-08,0,cat,3,CLOUDY,NW
2011-05-08,0,catch,2,CLOUDY,NW
2011-05-08,0,cause,10,CLOUDY,NW
2011-05-08,0,chance,4,CLOUDY,NW
2011-05-08,0,change,8,CLOUDY,NW
2011-05-08,0,channel,3,CLOUDY,NW
2011-05-08,0,character,3,CLOUDY,NW
2011-05-08,0,check,5,CLOUDY,NW
2011-05-08,0,cheese,2,CLOUDY,NW
2011-05-08,0,chest,2,CLOUDY,NW
2011-05-08,0,chick,2,CLOUDY,NW
2011-05-08,0,chicken,4,CLOUDY,NW
2011-05-08,0,child,2,CLOUDY,NW
2011-05-08,0,children,3,CLOUDY,NW
2011-05-08,0,chocolate,3,CLOUDY,NW
2011-05-08,0,choice,6,CLOUDY,NW
2011-05-08,0,chris,1,CLOUDY,NW
2011-05-08,0,christmas,2,CLOUDY,NW
2011-05-08,0,church,2,CLOUDY,NW
2011-05-08,0,city,15,CLOUDY,NW
2011-05-08,0,class,8,CLOUDY,NW
2011-05-08,0,clean,4,CLOUDY,NW
2011-05-08,0,cleaning,25,CLOUDY,NW
2011-05-08,0,close,5,CLOUDY,NW
2011-05-08,0,closed,2,CLOUDY,NW
2011-05-08,0,clothes,3,CLOUDY,NW
2011-05-08,0,club,2,CLOUDY,NW
2011-05-08,0,coffee,5,CLOUDY,NW
2011-05-08,0,cold,5,CLOUDY,NW
2011-05-08,0,college,7,CLOUDY,NW
2011-05-08,0,come,18,CLOUDY,NW
2011-05-08,0,comes,6,CLOUDY,NW
2011-05-08,0,coming,10,CLOUDY,NW
2011-05-08,0,company,2,CLOUDY,NW
2011-05-08,0,complete,2,CLOUDY,NW
2011-05-08,0,completely,3,CLOUDY,NW
2011-05-08,0,computer,5,CLOUDY,NW
2011-05-08,0,con,3,CLOUDY,NW
2011-05-08,0,concert,4,CLOUDY,NW
2011-05-08,0,control,1,CLOUDY,NW
2011-05-08,0,cook,4,CLOUDY,NW
2011-05-08,0,cooking,2,CLOUDY,NW
2011-05-08,0,cool,5,CLOUDY,NW
