date,hour,keyword,locations
2011-05-08,0,bad,"[(42.24071, 93.35682), (42.22302, 93.3692), (42.24189, 93.36601), (42.23658, 93.35762), (42.21417, 93.34723), (42.17407, 93.38638), (42.22302, 93.36201), (42.20709, 93.35123), (42.29113, 93.29251), (42.22655, 93.3021), (42.26931, 93.2342), (42.24041, 93.34204), (42.29702, 93.52018), (42.22154, 93.54614), (42.21594, 93.37399), (42.20886, 93.35442), (42.21535, 93.34604)]"
2011-05-08,0,feel,"[(42.29879, 93.49222), (42.20621, 93.25098), (42.218, 93.36681), (42.22302, 93.3692), (42.24041, 93.34644), (42.24189, 93.36601), (42.16994, 93.32487), (42.21063, 93.38078), (42.2466, 93.35962), (42.23216, 93.33325), (42.2239, 93.24698), (42.28995, 93.34404), (42.23304, 93.33725), (42.29643, 93.3033), (42.23599, 93.36641), (42.28228, 93.46386), (42.22449, 93.33445), (42.24159, 93.32966)]"
2011-05-08,0,fever,"[(42.25958, 93.53656), (42.22302, 93.33126)]"
2011-05-08,0,flu,"[(42.21299, 93.39996), (42.23304, 93.3696)]"
2011-05-08,0,hospital,"[(42.22302, 93.33126), (42.22449, 93.34284)]"
2011-05-08,0,lol,"[(42.26429, 93.20544), (42.27137, 93.26416), (42.27108, 93.4367), (42.2068, 93.33405), (42.22508, 93.34324), (42.1897, 93.42951), (42.23304, 93.34404), (42.23098, 93.372), (42.20562, 93.37799), (42.19412, 93.37599), (42.23687, 93.36361), (42.2239, 93.24698), (42.22243, 93.3672), (42.20562, 93.34604), (42.21122, 93.38039), (42.21741, 93.25297), (42.24277, 93.42512), (42.24071, 93.36561), (42.23039, 93.53456), (42.28936, 93.39357), (42.2242, 93.3716), (42.21535, 93.38718), (42.1782, 93.31568), (42.23894, 93.36041), (42.23628, 93.33885), (42.20621, 93.33965), (42.27196, 93.33046), (42.23599, 93.44868), (42.23039, 93.35562), (42.23717, 93.35602)]"
2011-05-08,0,omg,"[(42.27786, 93.33445), (42.25722, 93.34044), (42.16818, 93.38078), (42.22538, 93.34843), (42.20621, 93.41953), (42.17053, 93.4383), (42.27756, 93.4351), (42.21712, 93.35083), (42.23658, 93.33246)]"
2011-05-08,0,sick,"[(42.21122, 93.36641), (42.28051, 93.41633), (42.23216, 93.28652)]"
2011-05-08,0,starbucks,"[(42.25162, 93.22701), (42.21771, 93.28652), (42.27963, 93.37919)]"
2011-05-08,0,stomach,"[(42.17525, 93.46905), (42.2413, 93.35802), (42.23511, 93.33405)]"
2011-05-08,0,twitter,"[(42.2239, 93.34124), (42.24189, 93.36681), (42.23864, 93.33325), (42.23245, 93.34404), (42.20415, 93.34124), (42.26046, 93.40155), (42.2124, 93.34723), (42.27963, 93.55453), (42.21653, 93.48503), (42.23776, 93.33885), (42.18321, 93.45587), (42.27815, 93.33046), (42.22243, 93.39676), (42.21417, 93.34723), (42.2127, 93.20784), (42.17702, 93.29531), (42.27668, 93.47505), (42.218, 93.33485), (42.23334, 93.35562), (42.23275, 93.32407), (42.21594, 93.40275), (42.21565, 93.36601), (42.20945, 93.32287), (42.27756, 93.4351), (42.18351, 93.54055), (42.23835, 93.34963), (42.23393, 93.31808), (42.19589, 93.26016), (42.27638, 93.54374)]"
2011-05-08,1,bad,"[(42.27255, 93.53775), (42.25132, 93.41873), (42.20592, 93.43231), (42.20651, 93.54734), (42.22302, 93.33286), (42.17348, 93.21942), (42.22154, 93.47345), (42.26135, 93.54814), (42.21977, 93.36281), (42.21358, 93.38997), (42.20326, 93.33845), (42.21624, 93.41434), (42.26547, 93.54854), (42.241, 93.32886), (42.23393, 93.37439), (42.27963, 93.32886), (42.23304, 93.45747), (42.27609, 93.52178), (42.241, 93.33925), (42.27609, 93.44469), (42.27786, 93.26535), (42.26282, 93.26216), (42.2295, 93.34763), (42.22538, 93.3708)]"
2011-05-08,1,caught,"[(42.23157, 93.34564), (42.27904, 93.44349), (42.23953, 93.48903), (42.2127, 93.36641), (42.25899, 93.46027)]"
2011-05-08,1,feel,"[(42.2699, 93.37959), (42.19088, 93.36121), (42.21211, 93.26496), (42.22302, 93.36401), (42.23393, 93.33965), (42.18587, 93.47145), (42.22508, 93.33445), (42.27609, 93.3728), (42.23334, 93.35842), (42.21152, 93.38718), (42.20474, 93.55573), (42.27373, 93.55573), (42.21063, 93.39796), (42.27874, 93.44229), (42.20385, 93.34923), (42.24248, 93.33845), (42.25073, 93.41074), (42.27609, 93.47025), (42.22213, 93.34084), (42.2242, 93.34564), (42.21152, 93.39157), (42.21859, 93.37599), (42.19943, 93.4379), (42.21093, 93.38877), (42.23422, 93.33965)]"
2011-05-08,1,fever,"[(42.24336, 93.51459), (42.22213, 93.34084)]"
2011-05-08,1,flu,"[(42.24071, 93.34883), (42.21358, 93.34404)]"
2011-05-08,1,hospital,"[(42.17525, 93.24578), (42.23098, 93.3033), (42.29378, 93.3712), (42.26606, 93.51698)]"
2011-05-08,1,lol,"[(42.27461, 93.37), (42.22921, 93.24578), (42.23098, 93.3025), (42.25132, 93.3013), (42.21034, 93.38797), (42.24896, 93.26256), (42.23098, 93.34364), (42.20651, 93.54734), (42.21388, 93.38678), (42.28818, 93.29092), (42.19619, 93.25257), (42.27579, 93.55333), (42.23009, 93.33525), (42.27756, 93.2322), (42.21741, 93.40076), (42.21859, 93.21503), (42.23717, 93.42152), (42.26695, 93.20584), (42.22125, 93.22062), (42.28346, 93.24179), (42.1667, 93.3708), (42.2127, 93.38558), (42.27491, 93.36681), (42.17083, 93.42552), (42.20975, 93.51978), (42.24719, 93.33805), (42.29201, 93.39676), (42.29584, 93.5034), (42.28316, 93.33525), (42.29319, 93.21383), (42.27963, 93.32886), (42.20739, 93.34843), (42.22538, 93.36481), (42.19029, 93.38837), (42.27874, 93.50221), (42.21889, 93.40036), (42.28847, 93.28772), (42.2699, 93.25976), (42.19737, 93.20105), (42.23481, 93.34124), (42.23481, 93.33445), (42.21181, 93.3684), (42.27668, 93.33805), (42.21948, 93.24339), (42.21447, 93.35362), (42.20709, 93.53496), (42.2755, 93.28133), (42.2124, 93.33365), (42.16375, 93.39476)]"
2011-05-08,1,omg,"[(42.24808, 93.49302), (42.23068, 93.34843), (42.21004, 93.48623), (42.21211, 93.22262), (42.20916, 93.40235), (42.1894, 93.39756), (42.27668, 93.45987), (42.25014, 93.47345), (42.21063, 93.33086), (42.16582, 93.33405), (42.24366, 93.28013), (42.21476, 93.35243), (42.22921, 93.38039), (42.23953, 93.34004), (42.24159, 93.33086), (42.21682, 93.34723)]"
2011-05-08,1,sick,"[(42.20651, 93.37839), (42.23098, 93.37599), (42.21211, 93.36561), (42.16316, 93.54734), (42.23275, 93.36641), (42.27874, 93.42073), (42.20798, 93.35323), (42.27697, 93.4383), (42.23334, 93.36481), (42.20031, 93.3041)]"
2011-05-08,1,starbucks,"[(42.20651, 93.54734), (42.18026, 93.47545), (42.23835, 93.42792)]"
2011-05-08,1,stomach,"[(42.21329, 93.32447), (42.23894, 93.33006), (42.2183, 93.35522)]"
