location_lat,location_lon,keyword
42.19795,93.42432,con
42.21565,93.35802,from
42.21565,93.35802,falling
42.21565,93.35802,snow
42.22596,93.36361,little
42.22596,93.36361,feeling
42.22596,93.36361,street
42.21299,93.36361,down
42.21299,93.36361,really
42.21299,93.36361,twitter
42.21741,93.35562,want
42.21741,93.35562,dont
42.24366,93.52018,being
42.24366,93.52018,lol
42.24366,93.52018,wtf
42.24366,93.52018,american
42.24366,93.52018,shut
42.18233,93.53775,new
42.18233,93.53775,its
42.18233,93.53775,last
42.18233,93.53775,million
42.18233,93.53775,down
42.20562,93.34004,online
42.20562,93.34004,media
42.20562,93.34004,two
42.1726,93.56132,week
42.1726,93.56132,from
42.18734,93.40355,epic
42.18734,93.40355,hurricane
42.29938,93.22701,down
42.29938,93.22701,still
42.23894,93.5038,car
42.2413,93.35402,think
42.2413,93.35402,know
42.2413,93.35402,where
42.2413,93.35402,did
42.2413,93.35402,stuff
42.2413,93.35402,close
42.2413,93.35402,eyes
42.2413,93.35402,bad
42.2413,93.35402,don
42.25191,93.51898,shot
42.25191,93.51898,got
42.25191,93.51898,side
42.22744,93.51299,news
42.22744,93.51299,obama
42.22095,93.34803,will
42.28258,93.2358,friendship
42.28258,93.2358,single
42.28258,93.2358,soul
42.28258,93.2358,two
42.28258,93.2358,living
42.21004,93.52897,never
42.21004,93.52897,where
42.21004,93.52897,sun
42.21004,93.52897,old
42.21004,93.52897,always
42.21004,93.52897,life
42.21004,93.52897,video
42.22675,93.338,peeps
42.22675,93.338,see
42.22675,93.338,awesome
42.22675,93.338,everyone
42.22675,93.338,some
42.22675,93.338,convention
42.22675,93.338,convetion
42.22675,93.338,sham
42.22675,93.338,hoping
42.22675,93.338,wow
42.22675,93.338,later
42.20326,93.42113,city
42.20326,93.42113,think
42.20326,93.42113,best
42.20326,93.42113,anyway
42.2239,93.38078,que
42.19972,93.31608,girl
42.19972,93.31608,mind
42.19972,93.31608,thing
42.19972,93.31608,only
42.21093,93.372,voor
42.21093,93.372,het
42.23785,93.33128,nice
42.23785,93.33128,such
42.23785,93.33128,convention
42.23785,93.33128,sham
42.23785,93.33128,wow
42.23785,93.33128,off
42.28169,93.33525,girl
42.28169,93.33525,lucky
42.28169,93.33525,type
42.28169,93.33525,looks
42.28169,93.33525,his
42.28169,93.33525,want
42.28169,93.33525,guy
42.28169,93.33525,night
42.19088,93.38318,disaster
42.19088,93.38318,enjoy
42.19088,93.38318,really
42.19088,93.38318,shows
42.19088,93.38318,real
42.19088,93.38318,much
42.19088,93.38318,world
42.19088,93.38318,off
42.24484,93.33725,comes
42.24484,93.33725,after
42.24484,93.33725,hurricane
42.27373,93.3736,very
42.2298,93.34763,want
42.2298,93.34763,sky
42.2298,93.34763,sum
42.17525,93.40595,touch
42.17525,93.40595,him
42.17525,93.40595,nobody
42.17525,93.40595,because
42.23304,93.35283,someone
42.23304,93.35283,camp
42.23304,93.35283,sit
42.23304,93.35283,thinking
42.23304,93.35283,around
42.23304,93.35283,special
42.23363,93.36321,therapy
42.23363,93.36321,need
42.21299,93.33126,therapy
42.21299,93.33126,means
42.21299,93.33126,body
42.19235,93.29891,american
42.22714,93.34604,hate
42.22714,93.34604,much
42.22714,93.34604,how
42.22714,93.34604,heart
42.18705,93.32646,know
42.18705,93.32646,really
42.18705,93.32646,back
42.18705,93.32646,got
42.18705,93.32646,down
42.18705,93.32646,mad
42.21948,93.39317,better
42.21948,93.39317,become
42.21948,93.39317,may
42.23805,93.36321,july
42.23805,93.36321,till
42.23805,93.36321,more
42.23805,93.36321,over
42.21181,93.19905,would
42.21181,93.19905,soooo
42.21181,93.19905,blows
42.21181,93.19905,cool
42.21181,93.19905,will
42.21181,93.19905,want
42.21181,93.19905,fly
42.26783,93.41074,dis
42.26783,93.41074,here
42.26783,93.41074,him
42.26783,93.41074,eating
42.26783,93.41074,children
42.26783,93.41074,sitting
42.26783,93.41074,watching
42.26783,93.41074,man
42.26783,93.41074,needs
42.26783,93.41074,eat
42.26783,93.41074,child
42.26783,93.41074,saying
42.26783,93.41074,cuz
42.26783,93.41074,food
42.23304,93.24818,well
42.23304,93.24818,take
42.23304,93.24818,breath
42.21565,93.38638,way
42.21565,93.38638,possible
42.21565,93.38638,same
42.21565,93.38638,feel
42.23393,93.35083,does
42.23393,93.35083,happened
42.23393,93.35083,kind
42.23393,93.35083,second
42.23393,93.35083,annoying
42.23393,93.35083,happen
42.23393,93.35083,actually
42.23393,93.35083,answer
42.23393,93.35083,something
42.21417,93.27015,video
42.21417,93.27015,omg
42.21417,93.27015,hurricane
42.29407,93.2358,great
42.29407,93.2358,apparently
42.29407,93.2358,internet
42.29407,93.2358,back
42.29407,93.2358,hold
42.29407,93.2358,sunday
42.29407,93.2358,friends
42.29407,93.2358,got
42.29407,93.2358,comes
42.29407,93.2358,until
42.29407,93.2358,night
42.21211,93.34763,want
42.21211,93.34763,lord
42.21211,93.34763,shall
42.25221,93.54734,gotta
42.25221,93.54734,bed
42.18321,93.52897,august
42.18321,93.52897,followers
42.18321,93.52897,who
42.18321,93.52897,bday
42.2413,93.35003,que
42.21063,93.37479,house
42.21063,93.37479,hurricane
42.21034,93.3684,lol
42.21034,93.3684,days
42.21034,93.3684,after
42.21034,93.3684,free
42.21034,93.3684,system
42.21034,93.3684,off
42.21034,93.3684,only
42.18351,93.54295,awake
42.18351,93.54295,watching
42.18351,93.54295,hot
42.26636,93.55573,anyone
42.26636,93.55573,know
42.26636,93.55573,putting
42.26636,93.55573,into
42.23982,93.33845,someone
42.23982,93.33845,their
42.23982,93.33845,asking
42.23982,93.33845,text
42.23982,93.33845,got
42.23982,93.33845,soon
42.23982,93.33845,call
42.23982,93.33845,message
42.21741,93.32806,pick
42.20798,93.34244,dont
42.20798,93.34244,how
42.20798,93.34244,come
42.22302,93.3001,changed
42.22302,93.3001,picture
42.22302,93.3001,facebook
42.23658,93.33885,monday
42.23658,93.33885,count
42.23658,93.33885,leaving
42.23658,93.33885,morning
42.23658,93.33885,down
42.26518,93.20624,therapy
42.26518,93.20624,forward
42.26518,93.20624,well
42.26518,93.20624,look
42.26518,93.20624,things
42.26518,93.20624,set
42.22479,93.36321,were
42.22479,93.36321,who
42.22479,93.36321,goes
42.22479,93.36321,know
42.22479,93.36321,watch
42.22479,93.36321,back
42.22479,93.36321,remember
42.22479,93.36321,around
42.22479,93.36321,comes
42.22596,93.20944,fix
42.22596,93.20944,having
42.22596,93.20944,headache
42.22596,93.20944,horrible
42.22596,93.20944,only
42.23953,93.33325,over
42.23953,93.33325,support
42.23953,93.33325,under
42.23953,93.33325,will
42.23953,93.33325,king
42.23628,93.34244,watchin
42.23628,93.34244,american
42.23628,93.34244,funny
42.23628,93.34244,haha
42.21741,93.45867,watchin
42.21741,93.45867,freaking
42.21741,93.45867,season
42.21741,93.45867,run
42.21741,93.45867,back
42.21741,93.45867,hell
42.21741,93.45867,why
42.21741,93.45867,again
42.21594,93.35762,gonna
42.21594,93.35762,killing
42.21594,93.35762,god
42.21594,93.35762,soon
42.21594,93.35762,pain
42.19442,93.40635,everything
42.23351,93.3492,plan
42.23351,93.3492,leaving
42.23351,93.3492,soon
42.23351,93.3492,anytime
42.23351,93.3492,don
42.23351,93.3492,could
42.23351,93.3492,convention
42.23351,93.3492,sham
42.23351,93.3492,better
42.23351,93.3492,wow
42.20916,93.53895,amazing
42.24985,93.41074,playing
42.24985,93.41074,american
42.22602,93.33763,here
42.22602,93.33763,being
42.22602,93.33763,loving
42.22602,93.33763,longer
42.22602,93.33763,feel
42.22602,93.33763,convention
42.22602,93.33763,any
42.22602,93.33763,dont
42.21093,93.52018,few
42.21093,93.52018,light
42.21093,93.52018,who
42.21093,93.52018,minutes
42.21093,93.52018,happy
42.21093,93.52018,followers
42.21093,93.52018,first
42.21093,93.52018,off
42.22773,93.37839,gets
42.22773,93.37839,him
42.22773,93.37839,worse
42.22773,93.37839,started
42.22773,93.37839,window
42.22773,93.37839,done
42.22773,93.37839,through
42.22773,93.37839,since
42.22773,93.37839,any
42.22773,93.37839,better
42.22773,93.37839,let
42.21417,93.37679,know
42.21417,93.37679,why
42.21417,93.37679,inside
42.21417,93.37679,called
42.2242,93.3736,home
42.2242,93.3736,ate
42.17614,93.33885,light
42.20503,93.33126,fan
42.24631,93.32806,saw
42.24631,93.32806,sure
42.24631,93.32806,weird
42.24631,93.32806,real
42.24631,93.32806,last
42.24631,93.32806,very
42.24631,93.32806,any
42.24631,93.32806,inception
42.24631,93.32806,dreams
42.24631,93.32806,night
42.24631,93.32806,had
42.23363,93.29212,doing
42.23363,93.29212,weeks
42.23363,93.29212,been
42.23363,93.29212,well
42.23363,93.29212,update
42.23363,93.29212,back
42.23363,93.29212,glad
42.23363,93.29212,pretty
42.22832,93.37599,safe
42.22832,93.37599,even
42.23894,93.34843,anyone
42.23894,93.34843,best
42.22887,93.34254,never
42.22887,93.34254,should
42.22887,93.34254,end
42.22887,93.34254,convention
42.22887,93.34254,bad
42.22887,93.34254,sham
42.22887,93.34254,wow
42.23334,93.36481,gonna
42.23334,93.36481,watch
42.23334,93.36481,gotta
42.23334,93.36481,done
42.23334,93.36481,some
42.23334,93.36481,until
42.23334,93.36481,boy
42.23334,93.36481,anything
42.23835,93.36121,already
42.23835,93.36121,lost
42.23835,93.36121,lol
42.23835,93.36121,gonna
42.23835,93.36121,mind
42.27697,93.24419,secret
42.20415,93.38238,things
42.20415,93.38238,getting
42.2124,93.32367,000
42.18262,93.48543,health
42.22213,93.35722,well
42.22213,93.35722,another
42.22213,93.35722,close
42.22213,93.35722,very
42.24071,93.3696,who
42.24071,93.3696,than
42.24071,93.3696,wrong
42.24071,93.3696,rather
42.24071,93.3696,always
42.24071,93.3696,sometimes
42.24071,93.3696,right
42.23805,93.3712,plan
42.23805,93.3712,health
42.23805,93.3712,their
42.23805,93.3712,house
42.23805,93.3712,own
42.20592,93.37,because
42.20592,93.37,she
42.20592,93.37,years
42.20592,93.37,new
42.19088,93.32806,two
42.19088,93.32806,new
42.19088,93.32806,dream
42.22685,93.31169,new
42.22685,93.31169,energy
42.22685,93.31169,show
42.22685,93.31169,american
42.22685,93.31169,fans
42.22685,93.31169,music
42.22685,93.31169,2nd
42.22685,93.31169,round
42.22685,93.31169,tomorrow
42.2298,93.20385,wasn
42.2298,93.20385,those
42.2298,93.20385,fact
42.2298,93.20385,2010
42.2298,93.20385,police
42.26547,93.19945,omg
42.2298,93.37399,sleeping
42.2298,93.37399,know
42.2298,93.37399,driving
42.2298,93.37399,currently
42.2298,93.37399,while
42.2298,93.37399,stop
42.2298,93.37399,pray
42.2298,93.37399,let
42.22891,93.28612,bill
42.22891,93.28612,down
42.23923,93.33206,stay
42.23923,93.33206,home
42.23923,93.33206,world
42.23923,93.33206,tomorrow
42.23923,93.33206,either
42.17938,93.56411,ever
42.17938,93.56411,than
42.22302,93.34683,door
42.22302,93.34683,next
42.21299,93.39836,home
42.21299,93.39836,leaving
42.21299,93.39836,being
42.21299,93.39836,without
42.23393,93.35962,need
42.23452,93.35682,house
42.23452,93.35682,real
42.19884,93.40195,being
42.20179,93.36641,whats
42.20179,93.36641,timeline
42.20179,93.36641,twitter
42.2814,93.38757,extra
42.2814,93.38757,holiday
42.2814,93.38757,stuff
42.2814,93.38757,some
42.2298,93.25577,cream
42.2298,93.25577,health
42.20945,93.32567,probably
42.20945,93.32567,most
42.20945,93.32567,favorite
42.20945,93.32567,app
42.20945,93.32567,right
42.18203,93.43431,well
42.18203,93.43431,questions
42.23658,93.36281,any
42.23658,93.36281,anybody
42.23658,93.36281,phone
42.18999,93.33605,water
42.26754,93.33445,who
42.26754,93.33445,wants
42.26754,93.33445,august
42.26754,93.33445,american
42.26754,93.33445,2nd
42.26754,93.33445,1st
42.26754,93.33445,try
42.25751,93.38797,god
42.21358,93.32686,wants
42.21358,93.32686,anymore
42.21358,93.32686,wear
42.21358,93.32686,her
