keyword,count,weather,wind_direction
000,2,CLEAR,NW
100,3,CLEAR,NW
1st,9,CLEAR,NW
2010,15,CLEAR,NW
2nd,3,CLEAR,NW
aan,2,CLEAR,NW
able,1,CLEAR,NW
absolutely,1,CLEAR,NW
accident,1,CLEAR,NW
account,5,CLEAR,NW
aching,1,CLEAR,NW
act,4,CLEAR,NW
action,2,CLEAR,NW
actually,9,CLEAR,NW
adam,3,CLEAR,NW
add,4,CLEAR,NW
after,29,CLEAR,NW
afternoon,2,CLEAR,NW
again,22,CLEAR,NW
against,8,CLEAR,NW
age,3,CLEAR,NW
ago,4,CLEAR,NW
ahead,3,CLEAR,NW
ain,4,CLEAR,NW
aint,7,CLEAR,NW
air,7,CLEAR,NW
airport,1,CLEAR,NW
alarm,17,CLEAR,NW
album,7,CLEAR,NW
alive,1,CLEAR,NW
almost,6,CLEAR,NW
alone,3,CLEAR,NW
along,7,CLEAR,NW
already,17,CLEAR,NW
alright,2,CLEAR,NW
als,6,CLEAR,NW
also,6,CLEAR,NW
always,28,CLEAR,NW
amazing,12,CLEAR,NW
american,47,CLEAR,NW
android,4,CLEAR,NW
annoying,3,CLEAR,NW
another,21,CLEAR,NW
answer,4,CLEAR,NW
any,19,CLEAR,NW
anybody,2,CLEAR,NW
anymore,6,CLEAR,NW
anyone,19,CLEAR,NW
anything,9,CLEAR,NW
anytime,1,CLEAR,NW
anyway,1,CLEAR,NW
app,3,CLEAR,NW
apparently,7,CLEAR,NW
appetite,1,CLEAR,NW
apple,5,CLEAR,NW
arcade,13,CLEAR,NW
around,14,CLEAR,NW
art,4,CLEAR,NW
arts,4,CLEAR,NW
ask,9,CLEAR,NW
asked,1,CLEAR,NW
asking,3,CLEAR,NW
asleep,5,CLEAR,NW
ass,9,CLEAR,NW
ate,1,CLEAR,NW
august,15,CLEAR,NW
awake,3,CLEAR,NW
away,16,CLEAR,NW
awesome,5,CLEAR,NW
baby,17,CLEAR,NW
back,58,CLEAR,NW
bad,16,CLEAR,NW
band,2,CLEAR,NW
bar,1,CLEAR,NW
baseball,40,CLEAR,NW
basketball,6,CLEAR,NW
bday,4,CLEAR,NW
beach,10,CLEAR,NW
beat,5,CLEAR,NW
beautiful,12,CLEAR,NW
beauty,1,CLEAR,NW
because,20,CLEAR,NW
become,4,CLEAR,NW
bed,16,CLEAR,NW
been,20,CLEAR,NW
beer,3,CLEAR,NW
before,18,CLEAR,NW
beginning,1,CLEAR,NW
behind,6,CLEAR,NW
being,22,CLEAR,NW
believe,14,CLEAR,NW
ben,4,CLEAR,NW
best,36,CLEAR,NW
better,27,CLEAR,NW
between,4,CLEAR,NW
beyond,4,CLEAR,NW
bieber,7,CLEAR,NW
big,16,CLEAR,NW
biggest,1,CLEAR,NW
bill,6,CLEAR,NW
birthday,8,CLEAR,NW
bit,11,CLEAR,NW
black,8,CLEAR,NW
blackberry,2,CLEAR,NW
blog,5,CLEAR,NW
blood,7,CLEAR,NW
blue,2,CLEAR,NW
body,12,CLEAR,NW
bomb,1,CLEAR,NW
book,10,CLEAR,NW
books,11,CLEAR,NW
boondocks,8,CLEAR,NW
bored,8,CLEAR,NW
boring,3,CLEAR,NW
both,3,CLEAR,NW
bought,4,CLEAR,NW
bout,10,CLEAR,NW
box,3,CLEAR,NW
boy,14,CLEAR,NW
boyfriend,3,CLEAR,NW
boys,6,CLEAR,NW
brain,2,CLEAR,NW
break,7,CLEAR,NW
breakfast,3,CLEAR,NW
breath,4,CLEAR,NW
briefing,6,CLEAR,NW
briefly,2,CLEAR,NW
bring,6,CLEAR,NW
bro,3,CLEAR,NW
broke,3,CLEAR,NW
broken,8,CLEAR,NW
brother,13,CLEAR,NW
brown,4,CLEAR,NW
